#Variantes versión 3.4
#Catálogo 8 (Grado de estudios)
Sin instrucción, sin educación, sin ningún grado de estudio, No tengo estudios
No tengo estudios, Sin instrucción, sin educación, sin ningún grado de estudio
Saber leer, leer, comprensión de lectura
Saber escribir, escribir, escritura
Primaria, escuela primaria
Químico biólogo bromatólogo, Químico en biología bromatológica, Químico con especialidad en biología bromatológica 
Químico biólogo en análisis clínicos, Químico biólogo especializado en análisis clínicos
Químico biólogo en tecnología de los alimentos, Químico biólogo especializado en tecnología de los alimentos 
Químico biólogo parasitólogo, Químico en biología parasitológica, Químico con especialidad en biología parasitológica 
Químico clínico biólogo, Químico clínico con especialidad en biología 
Químico farmacéutico, Químico con especialidad en farmacéutica 
Químico farmacéutico biólogo en alimentos, Químico farmacéutico con especialidad en biología alimenticia 
Químico farmacéutico biólogo en bioquímico clínico, Químico farmacéutico con especialidad en biología en bioquímica clínica 
Químico farmacéutico biólogo en ciencias nucleares, Químico farmacéutico con especialidad en biología en ciencias nucleares 
Químico farmacéutico biólogo en farmacia clínica, Químico farmacéutico con especialidad en biología farmacéutica clínica 
Químico farmacobiologo, Químico con especialidad en farmacobiología 
Químico farmacobiologo en alimentos, Químico farmacobiologo especializado en alimentos 
Químico farmacobiologo en bioquímica, Químico farmacobiologo especializado en bioquímica 
Químico farmacobiologo en bromatología, Químico farmacobiologo especializado en bromatología 
Químico farmacobiologo en ciencias nucleares, Químico farmacobiologo especializado en ciencias nucleares 
Químico farmacobiologo en clínica epidemiológica, Químico farmacobiologo especializado en clínica epidemiológica 
Químico farmacobiologo en control de medicamentos, Químico farmacobiologo especializado en control de medicamentos 
Químico farmacobiologo en farmacia clínica, Químico farmacobiologo especializado en farmacia clínica 
Químico farmacobiologo en farmacia industrial, Químico farmacobiologo especializado en farmacia industrial 
Químico farmacobiologo en industria farmacéutica, Químico farmacobiologo especializado en industria farmacéutica 
Químico farmacobiologo en laboratorio clínico, Químico farmacobiologo especializado en laboratorio clínico 
Químico farmacobiologo en microbiología, Químico farmacobiologo especializado en microbiología 
Químico farmacobiologo en síntesis de fármacos, Químico farmacobiologo especializado en síntesis de fármacos 
Químico farmacobiologo en tecnología de los alimentos, Químico farmacobiologo especializado en tecnología de los alimentos 
Químico analista, Químico con especialidad en análisis 
Químico azucarero, Químico de la industria azucarera, Químico de la industria del azúcar
Químico en análisis industrial, Químico especializado en análisis industrial 
Químico en control de calidad, Químico especializado en control de calidad 
Químico en fármacos, Químico especializado en fármacos 
Químico metalúrgico, Químico en metalurgia

Bioquímica ambiental, Bioquímica del medio ambiente 
Bioquímica en industrias alimentarias, Bioquímica especializada en industria alimentarias 
Bioquímica en administración, Bioquímica especializada en administración 
Bioquímica en administración de recursos acuáticos, Bioquímica especializada en administración de recursos acuáticos 
Bioquímica en administración en ciencias marítimas, Bioquímica especializada en administración en ciencias marítimas
Bioquímica en administración en explotación de recursos, Bioquímica especializada en administración en explotación de recursos 
Bioquímica en administración en servicios alimentarios, Bioquímica especializada en administración en servicios alimentarios 
Bioquímica en alimentos, Bioquímica especializada en alimentos 
Bioquímica en aprovechamiento de recursos acuáticos, Bioquímica especializada en aprovechamiento de recursos acuáticos 
Bioquímica en bioingeniería ambiental, Bioquímica especializada en bioingeniería ambiental 
Bioquímica en ciencias alimentarias, Bioquímica especializada en ciencias alimentarias 
Bioquímica en ciencias marítimas, Bioquímica especializada en ciencias marítimas 
Bioquímica en fermentaciones, Bioquímica especializada en fermentaciones 
Bioquímica en microbiología, Bioquímica especializada en microbiología 
Bioquímica en productos naturales, Bioquímica especializada en productos naturales 
Bioquímica en tecnología de alimentos, Bioquímica especializada en tecnología de alimentos

Sociología de la cultura, Sociología cultural
Sociología agraria, Sociología en el campo agrario 
Sociología de la educación, Sociología en el campo educativo 
Sociología del trabajo, Sociología en el campo laboral 
Sociología política, Sociología en el ámbito de la política, Sociología en política  
Sociología rural, Sociología en el ámbito rural 
Sociología urbana, Sociología en el ámbito urbano 
Sociología de la comunicación, Sociología comunicativa 
Sociología de la cultura, Sociología cultural 
Sociología del desarrollo regional, Sociología especializada en desarrollo regional 
Sociología del desarrollo rural, Sociología especializada en desarrollo rural 
Sociología industrial, Sociología de la industria
Sociología rural en comunicación rural, Sociología rural especializada en comunicación rural 
Sociología rural en sociología rural, Sociología rural especializada en sociología rural

Trabajo social escolar, Trabajo social en escuela, Trabajo social en institución educativa
Trabajo social penitenciario, Trabajo social en penitenciaria, Trabajo social en institución penitenciaria 
Trabajo social rural, Trabajo social en el ámbito rural 
Trabajo social de la comunidad, Trabajo social comunitario 
Trabajo social laboral, Trabajo social en el trabajo 
Trabajo social medico asistencial, Trabajo social en asistencia médica 
Trabajo social psiquiátrico, Trabajo social en psiquiatría 
Trabajo social con orientación en desarrollo humano, Trabajo social orientado al desarrollo humano 
Trabajo social en administración, Trabajo social administrativo 
Trabajo social en investigación, Trabajo social especializado en investigación

Estudios internacionales, Estudios especializados en el ámbito internacional 
Estudios latinoamericanos, Estudios de América Latina, Estudios especializados en Latinoamérica 
Estudios de filosofía en México, Estudios de filosofía especializados en México 
Estudios humanísticos, Estudios especializados en humanidades 
Estudios antropológicos de México, Estudios especializados en antropología mexicana 
Estudios literarios, Estudios con enfoque literario 
Estudios psicoanalíticos, Estudios con enfoque psicoanalítico
Estudios de la familia, Estudios en torno a la familia
Estudios de la mujer, Estudios en torno a la mujer 
Estudios de la paz, Estudios en torno a la paz 
Estudios de población, Estudios en torno a la población 
Estudios de población regional, Estudios en torno a la población regional 
Estudios del desarrollo rural, Estudios en torno al desarrollo rural 
Estudios del este de Asia, Estudios especializados en el este de Asia 
Estudios latinoamericanos en ciencias políticas, Estudios latinoamericanos especializados en ciencias políticas 
Estudios latinoamericanos en filosofía, Estudios latinoamericanos especializados en filosofía 
Estudios latinoamericanos en historia, Estudios latinoamericanos especializados en historia 
Estudios latinoamericanos en literatura, Estudios latinoamericanos especializados en literatura 
Estudios mesoamericanos, Estudios de Mesoamérica 
Estudios orientales, Estudios de Oriente 
Estudios regionales en desarrollo urbano, Estudios regionales especializados en desarrollo urbano 

Relaciones económicas internacionales, Relaciones económicas en el ámbito internacional 
Relaciones internacionales, Relaciones en el ámbito internacional
Relaciones internacionales en comercio exterior, Relaciones en el ámbito internacional en comercio exterior 
Relaciones económicas internacionales en estudios de la cuenca del pacifico, Relaciones económicas en el ámbito internacional en estudios de la cuenca del pacífico 

Derecho administrativo, Derecho especializado en administración 
Derecho agrario, Derecho en la industria agraria 
Derecho burocrático, Derecho en el ámbito burocrático 
Derecho civil, Derecho en el ámbito civil 
Derecho mercantil, Derecho en el ámbito mercantil 
Derecho corporativo internacional, Derecho corporativo en el ámbito internacional 
Derecho criminal, Derecho en el ámbito criminal
Derecho penal, Derecho en el ámbito penal 
Derecho de la administración pública, Derecho especializado en administración pública 
Derecho de las finanzas públicas, Derecho especializado en finanzas públicas 
Derecho empresarial, Derecho de las empresas 
Derecho en ciencias penales, Derecho especializado en ciencias penales 
Derecho en derecho de América del norte, Derecho especializado en derecho de América del norte 
Derecho en régimen de la administración, Derecho especializado en régimen de la administración 
Derecho financiero, Derecho en finanzas 
Derecho fiscal, Derecho en el ámbito fiscal 
Derecho internacional, Derecho en el ámbito internacional 
Derecho laboral, Derecho en el ámbito laboral 
Derecho lauderia, Derecho en lauderia 
Derecho político, Derecho en el ámbito político 
Derecho social, Derecho en sociedad
Derecho aduanal, Derecho en el ámbito aduanal 
Derecho contractual, Derecho en el ámbito contractual 
Derecho notarial, Derecho en el ámbito notarial 
Derecho corporativo empresarial, Derecho corporativo en el ámbito empresarial 
Derecho corporativo internacional, Derecho corporativo en el ámbito internacional 
Derecho económico, Derecho en economía 
Derecho electoral, Derecho en el ámbito electoral 
Derecho en derecho de la empresa, Derecho especializado en derecho de la empresa 

Composición musical, Composición de piezas musicales

Economía agrícola, Economía en la industria agrícola, 
Economía empresarial, Economía en el ámbito empresarial 
Economía en administración, Economía especializada en administración 
Economía en administración de negocios, Economía especializada en administración de negocios 
Economía en antropología social, Economía especializada en antropología social 
Economía en ciencia política, Economía especializada en ciencias política
Economía en desarrollo económico, Economía especializada en desarrollo económico 
Economía en desarrollo industrial, Economía especializada en desarrollo industrial 
Economía en política económica, Economía especializada en política económica 
Economía en sociología, Economía especializada en sociología 
Economía en política económica, Economía especializada en política económica 
Economía internacional, Economía en el ámbito internacional 
Economía laboral, Economía en el ámbito laboral 
Economía marítima, Economía del mar 
Economía política, Economía en política 
Economía agrícola en política agrícola, Economía agrícola especializada en política agrícola
Economía de la empresa, Economía empresarial 
Economía de la tecnología, Economía tecnológica 
Economía de negocios, Economía en el ámbito de negocios 
Economía del desarrollo rural en desarrollo rural, Economía del desarrollo rural especializada en desarrollo rural 
Economía del desarrollo rural en planeación agropecuaria, Economía del desarrollo rural especializada en planeación agropecuaria 
Economía del medio ambiente, Economía ambiental 
Economía en desarrollo económico latinoamericano, Economía especializada en desarrollo económico latinoamericano
Economía en formulación, Economía especializada en formulación
Economía en historia económica, Economía especializada en historia económica 
Economía en política del estado de México, Economía especializada en política del estado de México
Economía energética, Economía en el ámbito energético
Economía financiera, Economía en finanzas 
Economía industrial, Economía en el ámbito industrial

Aeronáutica en aerodinámica, Aeronáutica especializada en aerodinámica 
Aeronáutica en estructuras, Aeronáutica especializada en estructuras 
Aeronáutica militar, Aeronáutica en las fuerzas militares 
Aeronáutica térmica, Aeronáutica especializada en térmica

Geofísica ambiental, Geofísica del medio ambiente
Geofísica en geotermia, Geofísica especializada en geotermia
Geofísica en prospección petrolera, Geofísica especializada en prospección petrolera

Geología en geohidrologia, Geología especializada en geohidrología 
Geología en hidrocarburos, Geología especializada en hidrocarburos 
Geología en petróleo, Geología especializada en petróleo 
Geología en yacimientos minerales, Geología especializada en yacimientos minerales 
Geología química, Geología especializada en química

Matemáticas en computación, Matemáticas especializadas en computación 
Matemáticas en estadística, Matemáticas especializadas en estadística 
Matemáticas en matemáticas aplicadas, Matemáticas especializadas en matemáticas aplicadas 
Matemáticas en matemáticas básicas, Geología especializada en matemáticas básicas 
Matemáticas educativas, Matemáticas en educación

Estadística social, Estadística en el ámbito social
Estadística médica, Estadística en el ámbito médico 

Actuaria financiera, Actuaria en finanzas 
Actuaría en computación, Actuaria especializada en computación
Actuaría en estadística en investigación de operaciones, Actuaria especializada en estadística en investigación de operaciones 
Actuaría en seguros, Actuaria especializada en seguros 

Física en ciencias de los materiales, Física especializada en ciencias de los materiales 
Física teórica, Teoría en física 
Física aplicada en corrosión, Física especializada aplicada en corrosión 
Física aplicada en física de la salud, Física especializada aplicada en física de la salud
Física aplicada en metrología, Física especializada aplicada en metrología 
Física aplicada en nuevos materiales, Física especializada aplicada en nuevos materiales 
Física de radiaciones, Física en radiación 
Física en mecánica de fluidos, Física especializada en mecánica de fluidos 
Física óptica, Física en óptica

Explotación ganadera, Explotación de ganado, Explotación en la industria ganadera 
Explotación minera, Explotación en minas, Explotación en la industria minera 
Explotación petrolera, Explotación de petróleo, Explotación en la industria petrolera

Atención social, Atención en el ámbito social 
Atención social de nivel medio superior, Atención en el ámbito social de nivel medio superior 
Atención social de nivel superior, Atención en el ámbito social de nivel superior

Asistencia social, Asistencia en el ámbito social 
Asistencia médica, Asistencia en el ámbito médico


Promoción de la salud, Promoción de servicios de salud

Toxicología industrial, Toxicología en la industria

Farmacéutica industrial, Farmacéutica en la industria

Idiomas de nivel medio superior, Instrucción de idiomas en el nivel medio superior
Idiomas de nivel superior, Instrucción de idiomas en el nivel superior

Interprete traductor en servicios, Interprete traductor especializado en servicios

Graduación de patrones, Graduación especializada en patrones

Evaluación socioeconómica de proyectos de investigación, Evaluación socioeconómica especializada en proyectos de investigación

Problemas económicos agroindustriales, Problemas económicos en la industria agrícola 
Problemas económicos agroindustriales en agricultura mundial, Problemas económicos en la industria agrícola en agricultura mundial 
Problemas económicos en políticas agrícolas, Problemas económicos especializados en políticas agrícolas

Gerencia de proyectos en construcción, Gerencia de proyectos especializada en construcción 
Gerencia de servicios de salud, Gerencia especializada en servicios de salud 
Gerencia empresarial, Gerencia en las empresas
 
Gestión administrativa, Gestión en administración 
Gestión de instituciones, Gestión institucional 
Gestión educativa, Gestión en educación 

Anatomía patológica, Anatomía especializada en patología

Anestesia traumatológica, Anestesia especializada en traumatología

Cirugía cardiovascular, Cirugía con especialidad en el sistema cardiovascular 
Cirugía de abdomen, Cirugía abdominal 
Cirugía de columna, Cirugía de columna vertebral 
Cirugía de la boca, Cirugía bucal 
Cirugía del tórax, Cirugía torácica 
Cirugía pediátrica, Cirugía en área de pediatría 

Fisiología celular, Fisiología de las células, Fisiología especializada en células 
Fisiología médica, Fisiología en el ámbito médico

Geriatría clínica, Geriatría en el ámbito clínico

Hematología clínica, Hematología en el ámbito clínico

Inmunología clínica, Inmunología en el ámbito clínico

Neurobiología celular, Neurobiología de las células, Neurobiología especializada en células 

Parasitología médica, Parasitología en el ámbito médico

Patología clínica, Patología en el ámbito clínico

Pediatría médica, Pediatría en el ámbito médico

Psiquiatría clínica, Psiquiatría en el ámbito clínico 
Psiquiatría en psicoterapia médica, Psiquiatría especializada en psicoterapia médica 
Psiquiatría médica, Psiquiatría en el ámbito médico 
Psiquiatría social, Psiquiatría en el ámbito social

Rehabilitación de personas con alteraciones del lenguaje, Rehabilitación de personas con alteraciones lingüísticas 
Rehabilitación neurológica, Rehabilitación especializada en neurología

Terapéutica homeopática, Terapéutica con especialidad homeopática 
Terapéutica homeopática en medicina general, Terapéutica homeopática especializada en medicina general

Urología pediátrica, Urología con especialidad pediátrica

Estomatología pediátrica, Estomatología con especialidad pediátrica

Odontología operativa dental, Odontología especializada en operaciones dentales 
Odontología parodoncia, Odontología con especialidad en parodoncia 
Odontología patología bucal, Odontología con especialidad en patología bucal 
Odontología preventiva, Odontología de prevención 
Odontología radiología dental, Odontología con especialidad en radiología dental 
Odontología restauradora, Odontología con especialidad en restauración

Epidemiologia clínica, Epidemiología en el ámbito clínico 
Epidemiologia oral, Epidemiología de la boca

Filosofía contemporánea, Filosofía de la actualidad 
Filosofía de la ciencia, Filosofía científica 
Filosofía de la cultura, Filosofía cultural
Filosofía de la política, Filosofía política
Filosofía en administración, Filosofía administrativa
Filosofía en educación, Filosofía educativa
Filosofía en estudios latinoamericanos, Filosofía especializada en estudios latinoamericanos 
Filosofía en psicología, Filosofía especializada en psicología
Filosofía en trabajo social, Filosofía especializada en trabajo social
Filosofía política, Filosofía especializada en política

Creación literaria, Creación de piezas literarias, Creación de obras literarias

Orientación educativa, Orientación en educación
Orientación familiar, Orientación de la familia
Orientación pediátrica, Orientación con especialidad pediátrica
Orientación personal, Orientación individual 
Orientación vocacional, Orientación de vocación

Psicoanálisis contemporáneo, Psicoanálisis de la actualidad

Psicoterapia familiar, Psicoterapia de familia
Psicoterapia gestalt, Psicoterapia con enfoque gestalt 
Psicoterapia humanista, Psicoterapia con enfoque humanista 
Psicoterapia infantil gestalt, Psicoterapia infantil con enfoque gestalt
Psicoterapia médica social, Psicoterapia médica en el ámbito social 
Psicoterapia psicoanalítica, Psicoterapia con especialidad psicoanalítica 
Psicoterapia psicoanalítica de la infancia, Psicoterapia psicoanalítica especializada en etapa infantil 
Psicoterapia psicoanalítica individual, Psicoterapia psicoanalítica personal

Bioingeniería en fermentaciones, Bioingeniería especializada en fermentaciones

Farmacia en análisis farmacéutico, Farmacia especializada en análisis farmacéutico
Farmacia en tecnología farmacéutica, Farmacia especializada en tecnología farmacéutica

Farmacología básica, Farmacología elemental 
Farmacología clínica, Farmacología en el ámbito clínico 
Farmacología conductal, Farmacología de la conducta

Política criminal, Política en el ámbito criminal 
Política fiscal, Política en el ámbito fiscal 
Política gubernamental, Política en el ámbito gubernamental 
Política de comercio exterior, Política en comercio exterior

Televisión educativa, Televisión con enfoque educativo

Geografía económica, Geografía en el ámbito económico 
Geografía en física aplicada, Geografía especializada en física aplicada
Geografía en ordenamiento del territorio, Geografía especializada en ordenamiento del territorio
Geografía en planeación, Geografía especializada en planeación

Vías terrestres, Vías de transporte terrestre

Automatización de sistemas, Automatización en sistemas 
Automatización en ingeniería de cómputo, Automatización especializada en ingeniería de cómputo 
Automatización en sistemas inteligentes, Automatización especializada en sistemas inteligentes

Tramitación aduanal, Tramitación en el ámbito aduanal

Instalación de viviendas, Instalación residencial

Exploración petrolera, Exploración de pozos petroleros
Exploración minera, Exploración de minas

Capturista de datos, Capturista de información 
Capturista ejecutiva, Capturista en nivel ejecutivo

Hidrología subterránea, Hidrología especializada en niveles subterráneos

Astrofísica en cosmología, Astrofísica especializada en cosmología 
Astrofísica en historia de la astrofísica, Astrofísica especializada en historia de la astrofísica 
Astrofísica en instrumentación astronómica, Astrofísica especializada en instrumentación astronómica 
Astrofísica en medio interestelar, Astrofísica especializada en medio interestelar 
Astrofísica en radioastronomía, Astrofísica especializada en radioastronomía 
Astrofísica en relatividad general, Astrofísica especializada en relatividad general 

Energía solar, Energía del sol 
Energía solar en fototermica, Energía solar especializada en fototérmica 
Energía solar en fotovoltaica, Energía solar especializada en fotovoltaica

Óptica en ciencia de la imagen, Óptica especializada en ciencia de la imagen 
Óptica en fotónica, Óptica especializada en fotonica 
Óptica en instrumentación, Óptica especializada en instrumentación
Óptica en proceso digital de imágenes, Óptica especializada en proceso digital de imágenes

Liderazgo empresarial, Liderazgo en el ámbito empresarial, Liderazgo en las empresas 
Liderazgo para el cambio en alta dirección, Liderazgo para el cambio especializado en alta dirección 
Liderazgo tecnológico, Liderazgo en el ámbito tecnológico

#Catálogo 21 (Ocupaciones)
Administrador de personal, Administrador de planilla de empleados, Administrador de recursos humanos, Administrador de RRHH 
Administrador de banco, Administrador de institución bancaria, Administrador bancario 
Administrador de casa de cambio, Administrador de casa de cambio de divisas 
Administrador de despacho contable, Administrador de despacho de contabilidad 
Administrador financiero, Administrador en finanzas 
Administrador de albergue, Administrador de posada, Administrador de hostal
Administrador de guardería, Administrador de centro de cuidados infantiles 
Administrador de academia de belleza, Administrador de instituto educativo para la belleza 
Administrador de universidad, Administrador universitario 
Administrador de jardín de niños, Administrador preescolar 
Administrador de despacho abogados, Administrador de firma de abogados 
Administrador jurídico, Administrador en derecho 
Administrador agrícola, Administrador de la industria agrícola 
Administrador de invernadero, Administrador de vivero 
Administrador de rancho, Administrador de granja 
Administrador de fábrica, Administrador de planta productor 
Administrador de ladrillera, Administrador de empresa de ladrillos
Administrador planta purificadora de agua, Administrador de purificadora de agua 
Administrador taller de herrería, Administrador de taller herrero 
Administrador de tortillería, Administrador de empresa tortillera
Administrador de constructora, Administrador de empresa constructora 
Administrador de empresa de computación, Administrador de empresa de servicios computacionales 
Administrador de correos, Administrador de servicios postales 
Administrador de periódico, Administrador de publicación periódica 
Administrador de agencia transporte de carga, Administrador de empresa de transporte de carga 
Administrador de empresa transportadora pasajeros, Administrador de empresa de transporte para pasajeros 
Administrador de empresa transportadora mercancías, Administrador de empresa transportadora de productos 
Administrador de distribuidora, Administrador de empresa distribuidora 
Administrador de gasolinera, Administrador de establecimiento gasolinero 
Administrador de plaza comercial, Administrador de establecimiento comercial 
Administrador de salón de fiestas, Administrador de salón recreativo 
Administrador de alquiler de casas, Administrador de arrendamiento inmobiliario 
Administrador de bar, Administrador de cantina 
Administrador de hotel, Administrador de empresa hotelera 
Administrador de restaurante, Administrador de establecimiento restaurantes 
Administrador de grupo musical, Administrador de conjunto musical 
Administrador de biblioteca, Administrador bibliotecario
Administrador público, Administrador en gestión pública
Administrador de empresas, Administrador empresarial

Director general fábrica, Director general de planta productora 
Director general banco, Director general bancario, Director general de institución bancaria 
Director general constructora, Director general de empresa constructora 
Director general de seguros, Director general de empresa aseguradora 
Director general de telecomunicaciones, Director general en el área de telecomunicaciones 
Director de auditoria, Director en el área de auditoría 
Director de salubridad, Director especialista en salubridad 
Director de instituto ciencias salud, Director de institución especializada en ciencias de la salud 
Director de centro de rehabilitación, Director encargado de centro de rehabilitación 
Director de asilo, Director de albergue 
Director de desarrollo económico, Director especialista en desarrollo económico 
Director de CERESO, Director de institución carcelaria, Director de institución penitenciaria
Director de estudios económicos, Director especialista en estudios económicos 
Director de fomento minero, Director especialista en fomento minero 
Director de guardería, Director de centro de cuidados infantiles 
Director de programas sociales, Director especialista en programas sociales 
Director de colegio idiomas, Director de colegio de lenguas 
Director de escuela capacitación, Director de institución educativa enfocada a la capacitación 
Director de escuela medio superior, Director de preparatoria, Director de prepa 
Director de escuela primaria, Director de escuela a nivel básico, Director de primaria 
Director de escuela secundaria, Director de escuela a nivel medio, Director de secundaria 
Director de jardín de niños, Director de institución preescolar 
Director de universidad, Director universitario 
Director de educación especial, Dirección en educación especializada 
Director de planeación educativa, Director especialista en planeación educativa 
Director de desarrollo forestal, Director especialista en desarrollo forestal 
Director de pesca, Director especialista en pesca 
Director de programas de reforestación, Director encargado de programas de reforestación 
Director de desarrollo agropecuario, Director encargado de desarrollo agropecuario 
Director de minas, Director especialista en minas, Director minero 
Director de potabilización, Director especialista en potabilización 
Director de producción manufacturera, Director encargado de producción manufacturera 
Director de centro de cómputo, Director encargado de centro de cómputo, Director de centro computacional
Director de consultoría en sistemas, Director encargado de consultoría en sistemas 
Director de comunicación social, Director encargado de comunicación social 
Director de radiodifusora, Director encargado de radiodifusora 
Director de canal de televisión, Director encargado de canal de televisión 
Director de centro investigación, Director encargado de centro de investigación 
Director de escena, Director encargado de escena 
Director artístico, Director especialista en arte 
Director creativo, Director especialista en creatividad
Director de orquesta, Director de conjunto orquestal 
Director de teatro, Director encargado de teatro 
Director musical, Director de conjunto musical 
Director de difusión cultural, Director encargado de difusión cultural

Gerente general empresa de seguridad, Gerente general empresa de servicios de seguridad
Gerente de calidad, Gerente encargado de calidad 
Gerente de compras, Gerente encargado de compras 
Gerente de logística, Gerente encargado de logística 
Gerente contable, Gerente encargado de contabilidad 
Gerente de banco, Gerente bancario, Gerente de institución bancaria
Gerente de impuestos, Gerente encargado de impuestos 
Gerente financiero, Gerente en finanzas 
Gerente de capacitación recursos humanos, Gerente de capacitación de RRHH 
Gerente de fábrica, Gerente de planta productora 
Gerente de imprenta, Gerente encargado de imprenta 
Gerente de planta, Gerente encargado de planta 
Gerente de producción, Gerente encargado de producción 
Gerente de sistemas, Gerente encargado de sistemas 
Gerente de operaciones en telecomunicaciones, Gerente encargado de operaciones de telecomunicaciones 
Gerente de sucursal telefónica, Gerente encargado de sucursal telefónica 
Gerente de abastecimientos, Gerente encargado de abastecimientos 
Gerente de carga aérea, Gerente encargado de carga aérea
Gerente de empresa de mudanzas, Gerente encargado de empresas de mudanzas 
Gerente de empresa naviera, Gerente encargado de empresa naviera
Gerente de empresa comercializadora, Gerente encargado de empresa comercializadora 
Gerente de empresa distribuidora, Gerente encargado de empresa distribuidora 
Gerente de parque de diversiones, Gerente de parque recreativo 
Gerente de discoteca, Gerente de centro nocturno 
Gerente de proyectos, Gerente encargado de proyectos 
Gerente de sucursal, Gerente encargado de sucursal

Contralor administrativo, Contralor en administración

Subdirector de protección civil, Subdirector a cargo de protección civil  
Subdirector de escuela primaria, Subdirector a cargo de escuela primaria  
Subdirector de escuela secundaria, Subdirector a cargo de escuela secundaria, Subdirector de secundaria 
Subdirector de kinder, Subdirector a cargo de kinder 
Subdirector de universidad, Subdirector a cargo de universidad
Subdirector de minas, Subdirector a cargo de minas
Subdirector de transporte urbano, Subdirector a cargo de la división de transporte urbano 

Subgerente de banco, Subgerente de institución bancaria 
Subgerente de sistemas informáticos, Subgerente de sistemas de información

Superintendente de mina, Superintendente a cargo de mina 
Superintendente de distribución energía, Superintendente a cargo de distribución energía 

Productor artístico, Productor de arte 
Productor de programas de televisión, Productor de programas televisivos 
Productor de productos farmacobiologos, Productor de productos de farmacobiología

Coordinador de planeación, Coordinador encargado de planeación 
Coordinador comercial, Coordinador en el ámbito comercial 
Coordinador de auditores, Coordinador encargado de auditores 
Coordinador de ejecutivos de ventas, Coordinador encargado de ejecutivos de venta 
Coordinador ingresos escolares, Coordinador encargado de ingresos escolares 
Coordinador de hospital, Coordinador de institución de salud 
Coordinador de programas de medio ambiente, Coordinador encargado de programas de medio ambiente
Coordinador de programas de salud, Coordinador encargado de programas de salud
Coordinador de protección civil, Coordinador encargado de protección civil
Coordinador de servicios salud, Coordinador encargado de servicios de salud
Coordinador normativo paramédico, Coordinador normativo de paramédicos
Coordinador del departamento de cardiología, Coordinador encargado del departamento de cardiología 
Coordinador general de almacenes, Coordinador general encargado de almacenes 
Coordinador de logística, Coordinador encargado de logística
Coordinador de banquetes, Coordinador encargado de banquetes
Coordinador de comedor, Coordinador encargado de comedor
Coordinador de restaurant bar, Coordinador encargado de restaurante bar
Coordinador de cafetería, Coordinador encargado de cafetería
Coordinador de bailarines, Coordinador encargado de bailarines 
Coordinador de grabación, Coordinador encargado de grabación 
Coordinador de grupo musical, Coordinador encargado de grupo musical
Coordinador de programas, Coordinador encargado de programas 
Coordinador de biblioteca, Coordinador encargado de biblioteca
Coordinador de cultura, Coordinador encargado de cultura, Coordinación cultural 
Coordinador de eventos sociales, Coordinador encargado de eventos sociales 
Coordinador actividades deportivas, Coordinador encargado de actividades deportivas 
Coordinador de spa, Coordinador encargado de spa
Coordinador de lavandería, Coordinador encargado de lavanderia
Coordinador de personal jardinero, Coordinador encargado de personal jardinero 
Coordinador de servicios, Coordinador encargado de servicios

Jefe de área de atención a pensionados, Jefe encargado de atención a pensionados
Jefe de departamento de archivos, Jefe encargado de departamento de archivos 
Jefe de almacén, Jefe encargado de almacén 
Jefe de archivo, Jefe encargado de archivo 
Jefe de bodega, Jefe encargado de bodega 
Jefe administrativo, Jefe en administración 
Jefe de compras, Jefe encargado de compras 
Jefe de personal, Jefe encargado de personal, Jefe de recursos humanos, Jefe de RRHH 
Jefe de recursos materiales, Jefe encargado de recursos materiales
Jefe de mensajería, Jefe encargado de mensajería 
Jefe de mercadotecnia, Jefe encargado de mercadotecnia
Jefe de presupuestos, Jefe encargado de presupuestos 
Jefe de contabilidad, Jefe encargado de contabilidad 
Jefe de auditoria, Jefe encargado de auditoría 
Jefe de cajas, Jefe encargado de cajas 
Jefe de cajeros automáticos, Jefe encargado de cajeros automáticos 
Jefe de costos, Jefe encargado de costos 
Jefe de crédito, Jefe evaluador de crédito 
Jefe de finanzas, Jefe encargado de finanzas, Jefe financiero
Jefe de recaudación fiscal, Jefe encargado de recaudación fiscal
Jefe de nómina, Jefe encargado de nómina 
Jefe de seguros, Jefe encargado de seguros 
Jefe de tesorería, Jefe encargado de tesorería 
Jefe de cirugía, Jefe encargado de cirugía 
Jefe de departamento salud, Jefe encargado de departamento de salud 
Jefe de oftalmología, Jefe en el área de oftalmología 
Jefe servicio urgencia, Jefe encargado de servicios de urgencias 
Jefe comercial, Jefe de área comercial 
Jefe de alquiler de autos, Jefe encargado de alquiler de autos 
Jefe de cajas en ventas, Jefe encargado de cajas en ventas 
Jefe de departamento de abarrotes, Jefe encargado de departamento de abarrotes 
Jefe de edecanes en eventos sociales, Jefe encargado de edecanes en eventos sociales 
Jefe de farmacia, Jefe encargado de farmacia 
Jefe de piso en una tienda de autoservicio, Jefe encargado de piso en una tienda de autoservicio 
Jefe de promotores, Jefe de promoción 
Jefe departamento tienda departamental, Jefe encargado de departamento en tienda departamental 
Jefe departamento ventas, Jefe encargado del departamento de ventas
Jefe tienda autoservicio, Jefe encargado de tienda de autoservicio 
Jefe de personal de automotel, Jefe encargado de personal en automotel
Jefe de cocina, Jefe encargado de la cocina 
Jefe de meseros, Jefe encargado de meseros 
Jefe de servicio a huéspedes, Jefe encargado de servicio a huéspedes 
